BROKERTITLE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,STATUS,PROPERTY_TYPE,segment,BOROUGH,ZIP
compass,385000,2,2.0,1100.0,"640 W 231st St #7c, Bronx, NY 10463, USA",40.8827696,-73.9148245,unknown,co op,Normal,Bronx,10463
belle harbor,349000,1,1.0,1017.0,"13811 Beach Channel Dr #8c, Rockaway Park, NY 11694, USA",40.5781687,-73.8586706,unknown,co op,Normal,Queens,11694
exit one,968000,3,2.0,1344.0,"61-23 Booth St, Flushing, NY 11374, USA",40.7309404,-73.8683812,unknown,house,Normal,Manhattan,11374
robert defalco inc,238000,1,1.0,650.0,"20 Cliff St #8f, Staten Island, NY 10305, USA",40.6109595,-74.060351,unknown,condo,Normal,Staten Island,10305
douglas elliman,1200000,6,6.0,5712.0,"71-12 66th St, Flushing, NY 11385, USA",40.7023326,-73.8891107,unknown,multi family home,Outlier,Manhattan,11385
realhome services solutions,911600,3,2.0,1596.0,"32-26 Parsons Blvd, Flushing, NY 11354, USA",40.7685072,-73.8246067,unknown,house,Normal,Manhattan,11354
howard hanna rand,598000,3,2.0,1144.0,"3088 Heath Ave, Bronx, NY 10463, USA",40.87796,-73.9011666,unknown,house,Normal,Manhattan,10463
keller williams,472000,1,1.0,700.0,"85-28 Grand Ave #4c, Elmhurst, NY 11373, USA",40.73531,-73.8812513,unknown,condo,Normal,Queens,11373
joanne costa,3995000,3,2.3738608579684373,12200.0,"639 Tompkins Ave., Staten Island, NY 10305, USA",40.6107278,-74.0701607,unknown,multi family home,Outlier,Manhattan,10305
re/max,1085000,5,3.0,1200.0,"1625 71st St, Brooklyn, NY 11204, USA",40.618311,-73.997597,unknown,house,Normal,Manhattan,11204
keller williams,680000,3,2.0,1535.0,"664 Crescent St., Brooklyn, NY 11208, USA",40.6713695,-73.869277,unknown,multi family home,Normal,Manhattan,11208
howard hanna rand,200000,1,2.3738608579684373,637.0,"1561 Unionport Rd, Bronx, NY 10462, USA",40.8389649,-73.8613485,unknown,condo,Normal,Manhattan,10462
century homes,210000,2,1.0,1000.0,"144-55 Melbourne Ave #1g, Flushing, NY 11367, USA",40.734848,-73.8232512,unknown,co op,Normal,Queens,11367
re/max,525000,2,2.0,996.0,"51 Anaconda St, Staten Island, NY 10312, USA",40.546286,-74.195582,unknown,townhouse,Normal,Manhattan,10312
neuhaus inc,1799000,3,1.0,5400.0,"2401 Richmond Rd #2407, Staten Island, NY 10306, USA",40.5767317,-74.1187369,unknown,multi family home,Outlier,Staten Island,10306
garfield leslie j co inc,1900000,9,5.0,5000.0,"2074 5th Ave, New York, NY 10035, USA",40.8082842,-73.9412356,unknown,townhouse,Outlier,Manhattan,10035
sovereign of ny inc,519000,3,2.0,1200.0,"9950 164th Ave, Jamaica, NY 11414, USA",40.651735,-73.830298,unknown,house,Normal,Manhattan,11414
wonica realtors appraisers,728900,4,1.0,960.0,"305 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6163157,-74.1248333,unknown,house,Normal,Manhattan,10314
brooklyn4u rltyof dykerheights,2300000,6,2.3738608579684373,4346.0,"490 Jansen St, Staten Island, NY 10312, USA",40.5274146,-74.179841,pending,other,Outlier,Manhattan,10312
exit first choice,299999,2,2.0,1300.0,"18-35 Corporal Kennedy St #2f, Bayside, NY 11360, USA",40.7808597,-73.7834998,unknown,co op,Normal,Queens,11360
corcoran,1800000,7,4.0,2832.0,"729 E 18th St, Brooklyn, NY 11230, USA",40.6331671,-73.9597006,pending,other,Normal,Manhattan,11230
ashford homes,599000,2,2.0,1095.0,"2818 W 17th St #1b, Brooklyn, NY 11224, USA",40.5784256,-73.9853674,unknown,condo,Normal,Brooklyn,11224
compass,7500000,3,4.0,3050.0,"329 Vanderbilt Ave, Brooklyn, NY 11205, USA",40.6883185,-73.9686154,pending,other,Luxury,Manhattan,11205
red door,1288888,3,4.0,1672.0,"661 Ocean Terrace, Staten Island, NY 10301, USA",40.6069525,-74.1016936,unknown,house,Normal,Manhattan,10301
5 boro corp,1299999,8,4.0,3448.0,"1210 E 72nd St, Brooklyn, NY 11234, USA",40.6259736,-73.9141206,unknown,multi family home,Normal,Manhattan,11234
ditommaso real estate,1399999,3,2.0,2700.0,"316 Brehaut Ave, Staten Island, NY 10307, USA",40.5116874,-74.2388187,unknown,house,Normal,Manhattan,10307
keller williams,725000,3,2.0,2410.0,"4316 Ely Ave, Bronx, NY 10466, USA",40.8965547,-73.8476725,unknown,house,Normal,Manhattan,10466
fillmore real estate,639000,2,2.0,862.0,"1755 E 51st St, Brooklyn, NY 11234, USA",40.6175251,-73.9255226,unknown,house,Normal,Manhattan,11234
exp,950000,4,4.0,2060.0,"115-14 10th Ave, Flushing, NY 11356, USA",40.7884912,-73.8515778,unknown,house,Normal,Manhattan,11356
compass,12500000,3,2.0,4000.0,"47 Mercer St APT 2, New York, NY 10013, USA",40.7217614,-74.0013329,unknown,condo,Luxury,Manhattan,10013
new concept sheiks inc,279000,3,1.0,1400.0,"2199 Holland Ave, Bronx, NY 10462, USA",40.8563536,-73.865974,unknown,co op,Normal,Manhattan,10462
re/max,1725000,3,2.0,1508.0,"132 91st St, Brooklyn, NY 11209, USA",40.6208655,-74.036863,unknown,house,Normal,Manhattan,11209
re/max,1698000,4,4.0,3620.0,"66 Archwood Ave, Staten Island, NY 10312, USA",40.5357703,-74.1849822,unknown,multi family home,Normal,Manhattan,10312
re/max,438000,2,2.0,1354.0,"123 Jamie Ln, Staten Island, NY 10312, USA",40.5628043,-74.1853825,unknown,house,Normal,Manhattan,10312
qvtopservice,100000,3,1.0,512.0,"10-40 Neilson St #3a, Far Rockaway, NY 11691, USA",40.6042895,-73.7478287,unknown,co op,Outlier,Queens,11691
winzone inc,625000,2,2.0,995.0,"2 Bay Club Dr #1u, Bayside, NY 11360, USA",40.7780359,-73.7808993,unknown,condo,Normal,Queens,11360
ka  inc,350000,3,2.3738608579684373,1520.0,"399 Linwood St, Brooklyn, NY 11208, USA",40.6758271,-73.8828978,unknown,house,Normal,Manhattan,11208
brown harris stevens,23000000,5,6.0,7058.0,"334 W 20th St, New York, NY 10011, USA",40.7439188,-74.0014359,unknown,townhouse,Luxury,Manhattan,10011
charles rutenberg inc,599000,3,2.0,1208.0,"88-20 78th St, Jamaica, NY 11421, USA",40.6892122,-73.8634426,unknown,house,Normal,Manhattan,11421
ortiz home selling team,279900,1,1.0,900.0,"1020 Grand Concourse #14d, Bronx, NY 10451, USA",40.8301222,-73.9202611,unknown,co op,Normal,Bronx,10451
platzner,165000,1,1.0,875.0,"205 E 238th St #1j, Bronx, NY 10470, USA",40.8994229,-73.8706379,unknown,co op,Normal,Bronx,10470
wiesner rocio d,625000,2,1.0,825.0,"474 48th Ave Ph 3h, Long Island City, NY 11109, USA",40.744346,-73.957101,unknown,condo,Normal,Queens,11109
keller williams,1970000,4,4.0,3111.0,"303 Knollwood Ave, Douglaston, NY 11363, USA",40.7800183,-73.7514697,pending,other,Normal,Manhattan,11363
ycl real estate consulting,580000,5,2.0,1780.0,"3 Brighton Ct, Brooklyn, NY 11223, USA",40.5874424,-73.9675716,unknown,multi family home,Normal,Manhattan,11235
keller williams,979000,3,2.0,1272.0,"324 77th St #2c, Brooklyn, NY 11209, USA",40.6295982,-74.0275565,unknown,condo,Normal,Brooklyn,11209
century 21 amiable  ii inc,1699888,3,3.0,2275.0,"160-14 83rd St, Jamaica, NY 11414, USA",40.6556445,-73.848959,unknown,house,Normal,Manhattan,11414
re/max,499000,4,2.0,1752.0,"2712 Heath Ave, Bronx, NY 10463, USA",40.8717268,-73.9050847,unknown,house,Normal,Manhattan,10463
keller williams,1250000,6,2.3738608579684373,3312.0,"95-18 42nd Ave, Elmhurst, NY 11373, USA",40.7459265,-73.868944,unknown,multi family home,Normal,Manhattan,11373
century 21 homefront,245000,2,1.0,900.0,"2260 Burnett St #1f, Brooklyn, NY 11229, USA",40.6014996,-73.9324298,unknown,co op,Normal,Brooklyn,11229
compass,5800000,7,5.0,6360.0,"39 S Portland Ave, Brooklyn, NY 11217, USA",40.6884736,-73.9747288,unknown,townhouse,Outlier,Manhattan,11217
coldwell banker,2350000,5,4.0,4270.0,"144 Dunham St, Staten Island, NY 10309, USA",40.5251737,-74.2176044,unknown,house,Outlier,Manhattan,10309
brown harris stevens,425000,3,1.0,450.0,"410 W 23rd St #6f, New York, NY 10011, USA",40.7464807,-74.0018835,unknown,co op,Normal,Manhattan,10011
chris homes lands inc,799000,3,2.0,2340.0,"825 Rockland Ave, Staten Island, NY 10314, USA",40.5887913,-74.1444799,unknown,house,Normal,Manhattan,10314
lj estates inc,725000,4,2.0,1700.0,"445 Milford St, Brooklyn, NY 11208, USA",40.6681943,-73.8749046,unknown,multi family home,Normal,Manhattan,11208
dynamik real estate,3695000,2,2.0,1697.0,"292 Lafayette St #2a, New York, NY 10012, USA",40.7246503,-73.9960912,unknown,co op,Normal,Manhattan,10012
jamie connie real estate grp,3100000,4,2.3738608579684373,3600.0,"145-38 3rd Ave, Flushing, NY 11357, USA",40.7956412,-73.8246757,pending,other,Normal,Manhattan,11357
compass,1199000,4,1.0,1840.0,"7702 15th Ave, Brooklyn, NY 11228, USA",40.6165131,-74.0045846,unknown,house,Normal,Manhattan,11228
compass,28000000,4,4.0,5000.0,"443 Greenwich St Ph E, New York, NY 10013, USA",40.7229769,-74.0093524,unknown,condo,Luxury,Manhattan,10013
besmatch real estate,99000,1,1.0,850.0,"1177 Anderson Ave #2d, Bronx, NY 10452, USA",40.83645,-73.924271,unknown,co op,Outlier,Bronx,10452
sowae corp,399000,3,2.3738608579684373,1601.0,"104-06 212th St, Jamaica, NY 11417, USA",40.7115495,-73.7464296,unknown,house,Normal,Manhattan,11429
corcoran,1300000,2,2.0,1140.0,"392 Central Park W #1r, New York, NY 10025, USA",40.7945469,-73.9649582,unknown,condo,Normal,Manhattan,10025
re/max,558000,1,1.0,751.0,"346 91st St APT 307, Brooklyn, NY 11209, USA",40.619526,-74.0311577,unknown,condo,Normal,Brooklyn,11209
re/max,1280000,4,2.0,2340.0,"240-67 Poplar St, Flushing, NY 11363, USA",40.7690548,-73.7444989,unknown,house,Normal,Manhattan,11363
brown harris stevens,429000,2,2.0,1450.0,"The Briarcliff, 3515 Henry Hudson Pkwy #3d, Bronx, NY 10463, USA",40.8868607,-73.9129726,unknown,co op,Normal,Bronx,10463
tom crimmins ltd,399900,2,2.0,853.0,"120 Wellington Ct #1b, Staten Island, NY 10314, USA",40.5803785,-74.1578058,unknown,condo,Normal,Staten Island,10314
nobroker,499900,3,1.0,1040.0,"334 Harbor Rd, Staten Island, NY 10303, USA",40.6281869,-74.1606727,unknown,house,Normal,Manhattan,10303
weichert realtors the franzese,2489000,4,4.0,2334.0,"230 7th St, Brooklyn, NY 11215, USA",40.671985,-73.9889397,unknown,multi family home,Normal,Manhattan,11215
jm,255500,1,1.0,950.0,"422 Maryland Ave #3b, Staten Island, NY 10305, USA",40.6077498,-74.0743086,unknown,condo,Normal,Staten Island,10305
corcoran,30000000,5,2.3738608579684373,6000.0,"15 Bank St, New York, NY 10014, USA",40.7371772,-74.0024577,unknown,house,Luxury,Manhattan,10014
realhome services solutions,471300,4,2.0,2175.0,"672 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6629386,-73.8878146,unknown,multi family home,Normal,Manhattan,11207
serhant,9450000,2,3.0,3918.0,"60 Greene St APT 4, New York, NY 10012, USA",40.7228178,-74.00088,unknown,condo,Luxury,Manhattan,10012
weichert realtors the franzese,1089000,4,2.0,1720.0,"649 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",40.6275081,-74.018889,unknown,house,Normal,Manhattan,11209
bedford brownstone,220000,1,1.0,500.0,"767 Eastern Pkwy #1a, Brooklyn, NY 11213, USA",40.6699448,-73.9429395,unknown,co op,Normal,Brooklyn,11213
compass,9950000,10,10.0,8000.0,"120 E 19th St, New York, NY 10003, USA",40.7369927,-73.9868876,unknown,townhouse,Luxury,Manhattan,10003
joachim,295000,2,1.0,950.0,"234-18 131st Ave, Rosedale, NY 11422, USA",40.6778447,-73.7335012,unknown,co op,Normal,Manhattan,11422
katz,1375000,5,4.0,2704.0,"19 Bascom Pl, Staten Island, NY 10314, USA",40.606711,-74.1447092,unknown,house,Normal,Manhattan,10314
j sikar,399000,2,2.0,1050.0,"2944 W 5th St #19c, Brooklyn, NY 11224, USA",40.5776924,-73.9737314,unknown,co op,Normal,Brooklyn,11224
exit private client,219999,2,1.0,800.0,"3240 Riverdale Ave #4b, Bronx, NY 10463, USA",40.8833792,-73.907461,unknown,co op,Normal,Bronx,10463
herman co new york,639000,4,2.0,1856.0,"2341 Richmond Rd, Staten Island, NY 10306, USA",40.5774962,-74.1181004,unknown,house,Normal,Manhattan,10306
robert defalco inc,750000,4,4.0,1240.0,"114 Mc Arthur Ave, Staten Island, NY 10312, USA",40.5546832,-74.1780566,contingent,other,Normal,Manhattan,10312
sotheby's,499999,3,2.0,1763.0,"12 Irving Pl, Staten Island, NY 10304, USA",40.6175808,-74.0858322,unknown,house,Normal,Manhattan,10304
re/max,1268000,3,2.0,1513.0,"102-37 68th Ave, Flushing, NY 11375, USA",40.7240812,-73.8521227,unknown,townhouse,Normal,Manhattan,11375
brooklyn s 4 u,1899000,7,4.0,2800.0,"2719 Whitman Dr, Brooklyn, NY 11234, USA",40.6049921,-73.9106532,unknown,house,Normal,Manhattan,11234
ny empire real estate,888000,3,2.0,1600.0,"69-10 108th St #4c, Forest Hills, NY 11375, USA",40.724514,-73.8458441,unknown,co op,Normal,Queens,11375
berkshire hathaway homeservices cangiano estates,2100000,20,8.0,7200.0,"7222 3rd Ave, Brooklyn, NY 11209, USA",40.6330213,-74.0274188,unknown,multi family home,Outlier,Manhattan,11209
nobroker,2900000,5,2.3738608579684373,6707.0,"29 Annfield Ct, Staten Island, NY 10304, USA",40.6000344,-74.1064235,unknown,house,Outlier,Manhattan,10304
keller williams,3200000,4,4.0,2950.0,"70 81st St, Brooklyn, NY 11209, USA",40.6286854,-74.0372417,unknown,house,Normal,Manhattan,11209
re/max,1175000,3,2.0,1192.0,"6810 Madeline Ct, Brooklyn, NY 11220, USA",40.6369819,-74.0276787,unknown,house,Normal,Manhattan,11220
coldwell banker,999999,3,2.0,1880.0,"560 Bay Ridge Ave, Brooklyn, NY 11220, USA",40.6325838,-74.0194607,contingent,other,Normal,Manhattan,11220
karten real estate svcs,1448000,5,4.0,2000.0,"84-19 253rd St, Jamaica, NY 11426, USA",40.735335,-73.7142031,unknown,house,Normal,Manhattan,11426
bergen basin,2950000,6,5.0,5436.0,"2390 National Dr, Brooklyn, NY 11234, USA",40.6037688,-73.9113665,unknown,house,Outlier,Manhattan,11234
exp,150000,3,1.0,600.0,"99-10 60th Ave #5l, Corona, NY 11368, USA",40.7364499,-73.8584826,unknown,co op,Normal,Queens,11368
ditommaso real estate,354900,2,1.0,673.0,"160 72nd St Apt 713, Brooklyn, NY 11209, USA",40.6343667,-74.0311335,unknown,condo,Normal,Brooklyn,11209
trademarko inc,969000,3,2.0,1776.0,"63-44 72nd St, Flushing, NY 11379, USA",40.7165988,-73.883495,unknown,house,Normal,Manhattan,11379
bayview marketing,530000,1,1.0,538.0,"2286 Cropsey Ave #6d, Brooklyn, NY 11214, USA",40.5954596,-73.9968422,unknown,condo,Normal,Manhattan,11214
winzone inc,3900000,5,6.0,7723.0,"144-58 Boulevard, Malba, NY 11357, USA",40.7924353,-73.8258362,unknown,house,Outlier,Manhattan,11357
kismet ny,450000,3,2.3738608579684373,1122.0,"102 Pilot St, Bronx, NY 10464, USA",40.8408308,-73.7856681,unknown,house,Normal,Manhattan,10464
robert defalco inc,475000,2,1.0,1296.0,"26 Katan Loop, Staten Island, NY 10308, USA",40.5527755,-74.1539297,unknown,condo,Normal,Manhattan,10308
re/max,125000,3,1.0,600.0,"3121 Middletown Rd #1c, Bronx, NY 10461, USA",40.8455961,-73.8264218,unknown,co op,Outlier,Bronx,10461
compass,2200000,3,3.0,2195.0,"336 Central Park W #3b, New York, NY 10025, USA",40.7904197,-73.966175,unknown,co op,Normal,Manhattan,10025
sowae corp,215000,3,2.3738608579684373,1509.0,"114-06 194th St, Jamaica, NY 11412, USA",40.6982271,-73.7605874,unknown,house,Normal,Manhattan,11412
tom crimmins ltd,2050000,6,6.0,5600.0,"254 Flagg Pl, Staten Island, NY 10304, USA",40.5856353,-74.1068594,unknown,house,Outlier,Manhattan,10304
jane mosello real estate,279000,2,2.0,1050.0,"4320 Van Cortlandt Park E, Bronx, NY 10470, USA",40.898666,-73.8738365,unknown,co op,Normal,Manhattan,10470
compass,785000,2,2.0,968.0,"16 Bay 25th St #4a, Brooklyn, NY 11214, USA",40.6039146,-73.9980848,unknown,condo,Normal,Brooklyn,11214
ashford homes,669000,3,2.0,1312.0,"72 Boone St, Staten Island, NY 10314, USA",40.6013797,-74.1380964,unknown,house,Normal,Manhattan,10314
corcoran,3650000,4,4.0,2880.0,"35 Joralemon St, Brooklyn, NY 11201, USA",40.6938815,-73.9983127,unknown,multi family home,Normal,Manhattan,11201
exp,6700000,4,4.0,3740.0,"51 W 95th St, New York, NY 10025, USA",40.7918625,-73.9667605,unknown,townhouse,Outlier,Manhattan,10025
robert defalco inc,530000,2,2.0,1672.0,"87 Murdock Pl, Staten Island, NY 10303, USA",40.6268626,-74.1476451,unknown,multi family home,Normal,Manhattan,10303
corcoran,1700000,2,2.0,1580.0,"984 Bergen St #1, Brooklyn, NY 11216, USA",40.6763522,-73.9543474,unknown,condo,Normal,Brooklyn,11216
j milo real estate ltd,339000,1,1.0,1085.0,"9437 Shore Rd Apt C8, Brooklyn, NY 11209, USA",40.6171201,-74.0385203,unknown,co op,Normal,Brooklyn,11209
keller williams,800000,3,2.0,1224.0,"1883 E 53rd St, Brooklyn, NY 11234, USA",40.6125589,-73.9230425,unknown,house,Normal,Manhattan,11234
re/max,189000,1,1.0,700.0,"6535 Broadway #1g, Bronx, NY 10471, USA",40.906568,-73.8968047,unknown,co op,Normal,Bronx,10471
ed bruno,835000,5,2.0,2050.0,"393 Guyon Ave, Staten Island, NY 10306, USA",40.5582716,-74.1160817,contingent,other,Normal,Manhattan,10306
douglas elliman,999999,2,2.0,1198.0,"333 E 91st St #10b, New York, NY 10128, USA",40.7803429,-73.947266,unknown,house,Normal,Manhattan,10128
commerce,575000,3,2.0,877.0,"61-20 71st Ave #2f, Ridgewood, NY 11385, USA",40.7019793,-73.8942094,unknown,condo,Normal,Queens,11385
compass,7950000,4,2.0,3397.0,"20 Jones St, New York, NY 10014, USA",40.7319485,-74.0025061,unknown,townhouse,Luxury,Manhattan,10014
re/max,324900,2,2.0,1100.0,"5715 Mosholu Ave #6b, Bronx, NY 10471, USA",40.9057959,-73.90002,pending,other,Normal,Bronx,10471
re/max,1850000,12,8.0,5250.0,"1727 E 14th St, Brooklyn, NY 11229, USA",40.6074371,-73.9588281,unknown,multi family home,Outlier,Manhattan,11229
douglas elliman,40000000,5,6.0,7488.0,"111 Murray St Ph 2, New York, NY 10007, USA",40.715351,-74.0128441,unknown,condo,Luxury,Manhattan,10007
pantiga  inc,175000,1,1.0,800.0,"190 E Mosholu Pkwy S #3b, Bronx, NY 10458, USA",40.8742949,-73.883753,unknown,co op,Normal,Bronx,10458
sbrw sbrownre,850000,2,1.0,775.0,"236 E 6th St #3w, New York, NY 10003, USA",40.7274335,-73.9892241,pending,other,Normal,Manhattan,10003
douglas elliman,5995000,6,4.0,4000.0,"136 Kane St, Brooklyn, NY 11231, USA",40.6868209,-73.9988226,unknown,townhouse,Outlier,Manhattan,11231
brown harris stevens,4200000,5,4.0,4480.0,"164 W 88th St, New York, NY 10024, USA",40.788437,-73.9731887,unknown,house,Outlier,Manhattan,10024
ben bay co,1848000,6,2.3738608579684373,3676.0,"976 Ocean Ave, Brooklyn, NY 11226, USA",40.6386251,-73.9591955,unknown,house,Outlier,Manhattan,11226
exp,285000,1,1.0,750.0,"1293 E 5th St #6b, Brooklyn, NY 11230, USA",40.6195811,-73.9706361,unknown,co op,Normal,Brooklyn,11230
realty trends corp,849000,5,3.0,2460.0,"43-06 Rockaway Beach Blvd, Far Rockaway, NY 11691, USA",40.5939428,-73.7748361,unknown,multi family home,Normal,Manhattan,11691
compass,549000,3,2.0,1250.0,"1764 Undercliff Ave, Bronx, NY 10453, USA",40.8515331,-73.9197862,unknown,house,Normal,Manhattan,10453
magic of great neck inc,729000,2,2.0,1700.0,"26910 Grand Central Pkwy #12o, Queens, NY 11005, USA",40.7577991,-73.7159564,unknown,co op,Normal,Queens,11005
douglas elliman,4900000,8,2.3738608579684373,9000.0,"5040 Goodridge Ave, Bronx, NY 10471, USA",40.8983076,-73.9020849,unknown,house,Outlier,Manhattan,10471
exp,600000,4,2.0,1728.0,"4217 Seton Ave, Bronx, NY 10466, USA",40.896179,-73.839487,unknown,multi family home,Normal,Manhattan,10466
keller williams,599000,3,1.0,1340.0,"11120 145th St, Jamaica, NY 11435, USA",40.6860975,-73.7998859,unknown,house,Normal,Manhattan,11435
voro,599000,5,2.0,2268.0,"716 Decatur St, Brooklyn, NY 11233, USA",40.6835248,-73.9141078,unknown,multi family home,Normal,Manhattan,11233
fillmore real estate,725000,3,2.0,1185.0,"1322 E 14th St #4b, Brooklyn, NY 11230, USA",40.6172572,-73.9611011,unknown,condo,Normal,Brooklyn,11230
brooklyn s 4 u,1295000,3,2.0,2600.0,"2506 E 65th St, Brooklyn, NY 11234, USA",40.609816,-73.9084026,unknown,multi family home,Normal,Manhattan,11234
berkshire hathaway homeservices cangiano estates,798888,3,2.0,1500.0,"849 Rossville Ave, Staten Island, NY 10309, USA",40.5474933,-74.2098503,unknown,multi family home,Normal,Manhattan,10309
j milo real estate,529000,3,1.0,1800.0,"89-22 210th Pl, Queens Village, NY 11427, USA",40.7212998,-73.7544395,unknown,house,Normal,Manhattan,11427
homes r us of ny inc,999998,3,2.3738608579684373,2400.0,"327 Brehaut Ave, Staten Island, NY 10307, USA",40.5114943,-74.2382685,unknown,multi family home,Normal,Manhattan,10307
compass,499000,1,1.0,615.0,"265 W 131st St #5, New York, NY 10027, USA",40.8138919,-73.9476673,pending,other,Normal,Manhattan,10027
re/max,1550000,12,7.0,3000.0,"174 Camden Ave, Staten Island, NY 10309, USA",40.5083446,-74.2299349,unknown,multi family home,Normal,Manhattan,10309
ben bay company of staten island,759000,3,4.0,1424.0,"419 O'Gorman Ave, Staten Island, NY 10308, USA",40.552359,-74.14076,contingent,other,Normal,Manhattan,10308
jws,245000,3,1.0,260.0,"5 Tudor City Pl #1818ny, New York, NY 10017, USA",40.748134,-73.9708805,unknown,co op,Normal,Manhattan,10017
get listed get sold nyc,1249000,5,3.0,1548.0,"2171 W 7th St, Brooklyn, NY 11223, USA",40.5946329,-73.9779295,unknown,multi family home,Normal,Manhattan,11223
re/max,455000,2,1.0,939.0,"449 Medina St #2c, Staten Island, NY 10306, USA",40.5599528,-74.1198255,unknown,condo,Normal,Staten Island,10306
re/max,999900,4,2.0,2024.0,"29 Bay 10th St, Brooklyn, NY 11228, USA",40.6101839,-74.009209,unknown,multi family home,Normal,Manhattan,11228
jm,395000,2,1.0,666.0,"170 Baden Pl, Staten Island, NY 10306, USA",40.5724498,-74.0909716,unknown,house,Normal,Manhattan,10306
nestapple,620000,1,1.0,430.0,"112 W 72nd St Ph C, New York, NY 10023, USA",40.7774399,-73.9793101,unknown,condo,Normal,Manhattan,10023
momentum real estate,1295000,4,2.3738608579684373,3264.0,"643 Huguenot Ave, Staten Island, NY 10312, USA",40.5389259,-74.195072,unknown,multi family home,Normal,Manhattan,10312
ilite inc,849000,3,2.0,1241.0,"398 Kings Hwy #308, Brooklyn, NY 11223, USA",40.604405,-73.9751935,unknown,condo,Normal,Brooklyn,11223
serhant,8995000,5,4.0,5500.0,"38 W 26th St #9d, New York, NY 10010, USA",40.7442721,-73.9907621,unknown,co op,Luxury,Manhattan,10010
compass,2995000,2,2.0,1452.0,"120 E 87th St #26b, New York, NY 10128, USA",40.7803919,-73.9558923,unknown,condo,Normal,Manhattan,10128
douglas elliman,495000,2,1.0,800.0,"83-71 116th St #4e, Richmond Hill, NY 11418, USA",40.7045515,-73.8356118,unknown,condo,Normal,Queens,11418
neuhaus inc,675000,3,2.0,1222.0,"7 Norwood Ct, Staten Island, NY 10304, USA",40.6277171,-74.0860272,unknown,house,Normal,Manhattan,10304
compass,999000,3,1.0,600.0,"10 West End Ave #8j, New York, NY 10023, USA",40.7717454,-73.9900505,unknown,condo,Normal,Manhattan,10023
ppad park property advisors,2250000,2,2.0,1334.0,"415 Degraw St, Brooklyn, NY 11217, USA",40.6819719,-73.9903277,unknown,condo,Normal,Manhattan,11217
re/max,1299000,9,4.0,3720.0,"790 Olmstead Ave, Bronx, NY 10473, USA",40.8227297,-73.8517272,unknown,multi family home,Outlier,Manhattan,10473
j sikar,429000,1,1.0,640.0,"Brightwater Towers East, 501 Surf Ave #9d, Brooklyn, NY 11224, USA",40.5755355,-73.9735905,unknown,condo,Normal,Brooklyn,11224
brown harris stevens,10995000,7,6.0,9000.0,"318 W 81st St, New York, NY 10024, USA",40.7858802,-73.9811894,unknown,townhouse,Luxury,Manhattan,10024
brown harris stevens,2050000,5,4.0,3000.0,"26 Rutland Rd, Brooklyn, NY 11225, USA",40.6586603,-73.9595973,unknown,townhouse,Normal,Manhattan,11225
compass,1299000,4,2.0,1456.0,"100 W 119th St #3a, New York, NY 10026, USA",40.8040587,-73.9487622,pending,other,Normal,Manhattan,10026
behfar team,1075000,6,2.0,2200.0,"1455 E 15th St, Brooklyn, NY 11230, USA",40.6141979,-73.9591151,unknown,house,Normal,Manhattan,11230
tracey real estate,174000,1,1.0,800.0,"3105 Ave V #1h, Brooklyn, NY 11229, USA",40.5997081,-73.9344974,unknown,co op,Normal,Brooklyn,11229
connie profaci,1193000,2,2.0,1518.0,"1085 Todt Hill Rd, Staten Island, NY 10304, USA",40.5839283,-74.1113788,unknown,house,Normal,Manhattan,10304
sotheby's,12500000,9,2.3738608579684373,10500.0,"180 2nd Ave, New York, NY 10003, USA",40.7305606,-73.9859258,unknown,townhouse,Luxury,Manhattan,10003
pride estates,898000,5,4.0,2828.0,"185 Highland Blvd, Brooklyn, NY 11207, USA",40.6816001,-73.8948525,unknown,house,Normal,Manhattan,11207
keller williams,1288000,5,3.0,1500.0,"147-18 16th Rd, Flushing, NY 11357, USA",40.7849809,-73.8178033,unknown,multi family home,Normal,Manhattan,11357
prodigy real estate inc,1749999,4,4.0,2600.0,"106 Overlook Ave, Staten Island, NY 10304, USA",40.595688,-74.0982331,unknown,house,Normal,Manhattan,10304
re/max,575000,2,2.0,1253.0,"10102 Shore Front Pkwy # 26a, Far Rockaway, NY 11694, USA",40.5824866,-73.8213437,unknown,condo,Normal,Queens,11694
nest seekers  midtown,5100000,4,2.0,2183.0,"201 W 17th St, New York, NY 10011, USA",40.7408109,-73.998475,unknown,condo,Normal,Manhattan,10011
compass,2000000,1,2.0,1321.0,"108 Reade St #4b, New York, NY 10013, USA",40.7159753,-74.0083683,unknown,condo,Normal,Manhattan,10013
keller williams,170000,2,1.0,850.0,"3555 Kings College Pl #2g, Bronx, NY 10467, USA",40.8813916,-73.8757001,unknown,co op,Normal,Bronx,10467
corcoran,1295000,2,2.0,2100.0,"Eagle Warehouse & Storage Company, 28 Old Fulton St, Brooklyn, NY 11201, USA",40.702334,-73.9937463,unknown,co op,Normal,Brooklyn,11201
kms  inc,749000,3,2.0,1332.0,"767 Brighton Ave, Staten Island, NY 10301, USA",40.6333903,-74.0969828,unknown,house,Normal,Manhattan,10301
