BROKERTITLE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,STATUS,PROPERTY_TYPE,ZIP,BOROUGH,PRICE_PER_SQFT,LUXURY
miller miller real estate,244900,1,1.0,518.0,"260-46 73rd Ave a1, Glen Oaks, NY 11004, USA",40.7511183,-73.7160095,unknown,co op,11004,Queens,472.7799227799228,False
coldwell banker,230000,1,1.0,2184.207862,"108-50 62nd Dr #3a, Flushing, NY 11375, USA",40.736005,-73.849174,unknown,co op,11375,Queens,105.30133326660463,False
virginia rallis,130000,1,1.0,2184.207862,"5 Fordham Hill Oval #11h, Bronx, NY 10468, USA",40.8653458,-73.9073691,unknown,co op,10468,Bronx,59.51814488982001,False
compass,185000,1,1.0,850.0,"3123 Bailey Ave, Bronx, NY 10463, USA",40.8789917,-73.9020914,unknown,co op,10463,Manhattan,217.64705882352942,False
compass,435000,1,1.0,2184.207862,"155 Hicks St #5a, Brooklyn, NY 11201, USA",40.6969047,-73.9948252,pending,other,11201,Brooklyn,199.15686943901312,False
compass,800000,1,1.0,2184.207862,"324 E 41st St #1101, New York, NY 10017, USA",40.7486602,-73.9720523,unknown,co op,10017,Manhattan,366.265507014277,False
douglas elliman,250000,1,1.0,800.0,"1250 Ocean Pkwy #3j, Brooklyn, NY 11230, USA",40.6180698,-73.9699744,unknown,co op,11230,Brooklyn,312.5,False
anne anne weintraub,1050000,1,1.0,2184.207862,"Glucksman Ireland House, 1 5th Ave #10c, New York, NY 10003, USA",40.7316673,-73.996478,unknown,co op,10003,Manhattan,480.7234779562385,False
jabour company,329000,1,1.0,764.0,"9902 3rd Ave #2e, Brooklyn, NY 11209, USA",40.6141658,-74.0353827,unknown,co op,11209,Brooklyn,430.6282722513089,False
brown harris stevens,1750000,1,1.0,937.0,"114 E 13th St #3d, New York, NY 10003, USA",40.7330327,-73.9891825,unknown,condo,10003,Manhattan,1867.6627534685165,False
living ny main office,995000,1,1.0,2184.207862,"111 N 9th St #2l, Brooklyn, NY 11249, USA",40.7201147,-73.9581256,unknown,co op,11249,Brooklyn,455.542724349007,False
brown harris stevens,300000,1,1.0,2184.207862,"209 W 118th St #2f, New York, NY 10026, USA",40.8050658,-73.9524985,unknown,co op,10026,Manhattan,137.34956513035388,False
winzone inc,389000,1,1.0,900.0,"4410 Ketcham St #5b, Queens, NY 11373, USA",40.7427717,-73.8796707,unknown,co op,11373,Queens,432.22222222222223,False
re/max,269000,1,1.0,625.0,"130 Bay Ridge Pkwy #4h, Brooklyn, NY 11209, USA",40.632218,-74.0321902,unknown,co op,11209,Brooklyn,430.4,False
re/max,239000,1,1.0,700.0,"1720 E 13th St #1c, Brooklyn, NY 11229, USA",40.6073781,-73.9601827,unknown,co op,11229,Brooklyn,341.42857142857144,False
century homes,385000,1,1.0,2184.207862,"35-40 82nd St #2a, Flushing, NY 11372, USA",40.7505242,-73.8847507,unknown,co op,11372,Queens,176.2652752506208,False
sotheby's,1000000,1,1.0,773.0,"18 W 48th St #9c, New York, NY 10036, USA",40.7574596,-73.9793586,unknown,condo,10036,Manhattan,1293.6610608020699,False
douglas elliman,495000,1,1.0,2184.207862,"54 E 1st St #2c, New York, NY 10003, USA",40.7238926,-73.9893733,unknown,co op,10003,Manhattan,226.6267824650839,False
b square,555000,1,1.0,649.0,"15815 Union Tpke #411n, Flushing, NY 11366, USA",40.7206509,-73.808539,unknown,condo,11366,Queens,855.1617873651772,False
brown harris stevens,1250000,1,1.0,2184.207862,"17 W 10th St #3b, New York, NY 10011, USA",40.7340094,-73.9963862,pending,other,10011,Manhattan,572.2898547098077,False
compass,750000,1,1.0,654.0,"129 Meserole St #3b, Brooklyn, NY 11206, USA",40.708157,-73.944452,unknown,condo,11206,Brooklyn,1146.788990825688,False
charles rutenberg inc,300000,1,1.0,2184.207862,"6409 39th Ave Apt 1, Woodside, NY 11377, USA",40.7464499,-73.89982,unknown,co op,11377,Queens,137.34956513035388,False
corcoran,699000,1,1.0,2184.207862,"760 West End Ave #6c, New York, NY 10025, USA",40.7959993,-73.9723278,unknown,co op,10025,Manhattan,320.0244867537245,False
sotheby's,225000,1,1.0,2184.207862,"269-10 Grand Central Pkwy, Queens, NY 11005, USA",40.7577974,-73.7159601,unknown,co op,11005,Manhattan,103.0121738477654,False
signature premier,255000,1,1.0,2184.207862,"245-18 62nd Ave, Douglaston, NY 11362, USA",40.755562,-73.7316684,unknown,co op,11362,Manhattan,116.74713036080078,False
corcoran,750000,1,1.0,2184.207862,"200 Congress St #5d, Brooklyn, NY 11201, USA",40.6880273,-73.9950123,unknown,co op,11201,Brooklyn,343.37391282588464,False
houlihan lawrence,205000,1,1.0,660.0,"5921 Calloway St #2a, Corona, NY 11368, USA",40.7376662,-73.8566546,pending,other,11368,Queens,310.6060606060606,False
brown harris stevens,675000,1,1.0,2184.207862,"1270 5th Ave Apt 12h, New York, NY 10029, USA",40.7957847,-73.9498024,unknown,co op,10029,Manhattan,309.0365215432962,False
ben bay co of bay ridge,599000,1,1.0,780.0,"Harbor View Towers, 8901 Shore Rd #7e, Brooklyn, NY 11209, USA",40.6230753,-74.0403471,unknown,co op,11209,Brooklyn,767.9487179487179,False
elegran real estate and development,960000,1,1.0,834.0,"133 Water St #12d, Brooklyn, NY 11201, USA",40.7032891,-73.9891782,contingent,other,11201,Brooklyn,1151.0791366906474,False
utopia real estate,294500,1,1.0,2184.207862,"35-45 81st St c1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,unknown,co op,11372,Queens,134.8314897696307,False
re/max,235000,1,1.0,2184.207862,"65-38 Booth St #6h, Rego Park, NY 11374, USA",40.7267837,-73.8587799,unknown,co op,11374,Queens,107.59049268544386,False
nobroker,278000,1,1.0,2184.207862,"125 Queens Blvd # 10, Bronx, NY 10452, USA",40.7119297,-73.826361,unknown,co op,11415,Queens,127.27726368746126,False
keller williams,250000,1,1.0,750.0,"2241 Plumb 1st St Apt 1l, Brooklyn, NY 11229, USA",40.5986758,-73.9325474,unknown,co op,11229,Brooklyn,333.3333333333333,False
corcoran,1150000,1,1.0,2184.207862,"50 Central Park W #10d, New York, NY 10023, USA",40.7717316,-73.9797209,unknown,co op,10023,Manhattan,526.5066663330232,False
douglas elliman,297000,1,1.0,2184.207862,"261 Bay 19th St, Brooklyn, NY 11214, USA",40.6013587,-74.0073583,unknown,co op,11214,Manhattan,135.97606947905032,False
p r o links inc,485000,1,1.0,575.0,"62-96 Woodhaven Blvd #5f, Middle Village, NY 11379, USA",40.7245332,-73.8696876,unknown,condo,11374,Queens,843.4782608695652,False
chous  inc,299000,1,1.0,2184.207862,"144-44 41st Ave #6a, Flushing, NY 11355, USA",40.7607762,-73.8197115,unknown,co op,11355,Queens,136.89173324658603,False
keller williams,278000,1,1.0,750.0,"138-28 68th Dr #1a, Flushing, NY 11367, USA",40.7306353,-73.8276823,unknown,co op,11367,Queens,370.6666666666667,False
jamie connie real estate grp,548000,1,1.0,950.0,"144-85 Roosevelt Ave #5e, Flushing, NY 11354, USA",40.7626705,-73.8191386,unknown,condo,11354,Queens,576.8421052631579,False
sotheby's,950000,1,1.0,560.0,"323 E 53rd St, New York, NY 10022, USA",40.7564316,-73.9660912,unknown,condo,10022,Manhattan,1696.4285714285713,False
douglas elliman,399000,1,1.0,2184.207862,"6939 Park Dr E, Flushing, NY 11367, USA",40.7231998,-73.8267722,pending,other,11367,Manhattan,182.67492162337064,False
compass,425000,1,1.0,603.0,"640 Ditmas Ave APT 29, Brooklyn, NY 11218, USA",40.6360061,-73.971649,unknown,condo,11218,Brooklyn,704.8092868988391,False
sany,268000,1,1.0,660.0,"26-25 141st St #5a, Flushing, NY 11354, USA",40.7739672,-73.8277862,unknown,co op,11354,Queens,406.06060606060606,False
ben bay co of bay ridge,349000,1,1.0,652.0,"8301 Ridge Blvd #4d, Brooklyn, NY 11209, USA",40.6259955,-74.0323073,unknown,co op,11209,Brooklyn,535.2760736196319,False
exp,269995,1,1.0,2184.207862,"61-20 Grand Central Pkwy #102, Forest Hills, NY 11375, USA",40.7379227,-73.8470718,unknown,co op,11375,Queens,123.61231945789964,False
r new york,375000,1,1.0,900.0,"10 Bay Street Landing #1b, Staten Island, NY 10301, USA",40.638118,-74.073964,contingent,other,10301,Staten Island,416.6666666666667,False
highline rential highline rential,629000,1,1.0,2184.207862,"Five Guys, 600 W 111th St #2b, New York, NY 10025, USA",40.8048821,-73.966726,unknown,co op,10025,Manhattan,287.9762548899753,False
e z sell,279000,1,1.0,2184.207862,"61-20 Grand Central Pkwy, Forest Hills, NY 11375, USA",40.7379227,-73.8470718,unknown,co op,11375,Manhattan,127.7350955712291,False
crossings,199000,1,1.0,600.0,"83-52 Talbot St #2g, Jamaica, NY 11415, USA",40.7085553,-73.8279947,unknown,co op,11415,Queens,331.6666666666667,False
voro,278000,1,1.0,2184.207862,"39-82 65th Pl #4f, Queens, NY 11377, USA",40.7439196,-73.8992843,unknown,co op,11377,Queens,127.27726368746126,False
weichert realtors tmt,225000,1,1.0,2184.207862,"3541 205th St # 291, Bayside, NY 11361, USA",40.7667099,-73.78272,unknown,co op,11361,Queens,103.0121738477654,False
william raveis new york city,595000,1,1.0,2184.207862,"10 Park Ave #11c, New York, NY 10016, USA",40.7473555,-73.9813841,contingent,other,10016,Manhattan,272.4099708418685,False
amerihomes of ny inc,385000,1,1.0,779.0,"1625 Emmons Ave Apt 4b, Brooklyn, NY 11235, USA",40.5834583,-73.9522667,unknown,co op,11235,Brooklyn,494.22336328626443,False
compass,189990,1,1.0,2184.207862,"151-31 88th St #2f, Jamaica, NY 11414, USA",40.6668092,-73.8471901,unknown,co op,11414,Queens,86.9834795970531,False
ny empire real estate,275000,1,1.0,2184.207862,"9820 62nd Dr Apt 15h, Rego Park, NY 11374, USA",40.7334099,-73.85851,unknown,co op,11374,Queens,125.90376803615771,False
winzone inc,219000,1,1.0,2184.207862,"68-5 138th St #3b, Flushing, NY 11367, USA",40.7315119,-73.8286528,unknown,co op,11367,Queens,100.26518254515832,False
brown harris stevens,439000,1,1.0,2184.207862,"212 E 84th St #2c, New York, NY 10028, USA",40.7770851,-73.9541834,unknown,co op,10028,Manhattan,200.9881969740845,False
corcoran,679000,1,1.0,2184.207862,"319 E 50th St #9e, New York, NY 10022, USA",40.7546656,-73.9675207,unknown,co op,10022,Manhattan,310.8678490783676,False
corcoran,438000,1,1.0,2184.207862,"162 E 2nd St #1a, New York, NY 10009, USA",40.7228235,-73.98509,unknown,co op,10009,Manhattan,200.53036509031665,False
douglas elliman,699000,1,1.0,2184.207862,"205 E 10th St #4d, New York, NY 10003, USA",40.729738,-73.9861097,unknown,co op,10003,Manhattan,320.0244867537245,False
re/max,399000,1,1.0,750.0,"9707 4th Ave #5r, Brooklyn, NY 11209, USA",40.614285,-74.0315729,unknown,co op,11209,Brooklyn,532.0,False
jamie connie real estate grp,550000,1,1.0,721.0,"42-31 Colden St f6, Flushing, NY 11355, USA",40.7539009,-73.8261514,unknown,condo,11355,Queens,762.8294036061027,False
compass,575000,1,1.0,850.0,"118 E 60th St #4b, New York, NY 10022, USA",40.7630774,-73.9685002,unknown,co op,10022,Manhattan,676.4705882352941,False
brown harris stevens,239000,1,1.0,750.0,"3103 Fairfield Ave #10j, Bronx, NY 10463, USA",40.8836826,-73.9144424,unknown,co op,10463,Bronx,318.6666666666667,False
benjamin since 1980,224000,1,1.0,2184.207862,"6766 108th St Apt C4, Forest Hills, NY 11375, USA",40.7276199,-73.84686,unknown,co op,11375,Queens,102.55434196399756,False
keller williams,339000,1,1.0,910.0,"68-09 Booth St #6c, Forest Hills, NY 11375, USA",40.7244239,-73.8511076,unknown,co op,11375,Queens,372.5274725274725,False
brown harris stevens,999000,1,1.0,2184.207862,"1010 5th Ave #4b, New York, NY 10028, USA",40.7789146,-73.9619806,unknown,co op,10028,Manhattan,457.37405188407837,False
brown harris stevens,289000,1,1.0,750.0,"118-17 Union Tpke, Forest Hills, NY 11375, USA",40.7129779,-73.8345967,unknown,co op,11375,Manhattan,385.3333333333333,False
re/max,288000,1,1.0,800.0,"8853 Bay 16th St #3a, Brooklyn, NY 11214, USA",40.6028929,-74.0093853,unknown,co op,11214,Brooklyn,360.0,False
concrete jungle nyc,225000,1,1.0,2184.207862,"84-40 153rd Ave #5m, Jamaica, NY 11414, USA",40.6660965,-73.8478793,unknown,co op,11414,Queens,103.0121738477654,False
core  marketing,437500,1,1.0,2184.207862,"35-15 84th St #1a, Jackson Heights, NY 11372, USA",40.7513972,-73.8824773,unknown,co op,11372,Queens,200.3014491484327,False
keller williams,399000,1,1.0,2184.207862,"108 East 86th St #1fw, New York, NY 10028, USA",40.7797181,-73.9566929,unknown,co op,10028,Manhattan,182.67492162337064,False
mitra hakimi,318000,1,1.0,2184.207862,"11035 72nd Rd Apt 607, Forest Hills, NY 11375, USA",40.7203199,-73.84052,unknown,co op,11375,Queens,145.5905390381751,False
ben bay co,448000,1,1.0,750.0,"221 McDonald Ave #2j, Brooklyn, NY 11218, USA",40.6492641,-73.98034,unknown,co op,11218,Brooklyn,597.3333333333334,False
ben bay rlty co of ave u,299000,1,1.0,671.0,"837 Washington Ave #4a, Bronx, NY 10451, USA",40.8225186,-73.9117785,unknown,condo,10451,Bronx,445.6035767511177,False
bond new york columbus circle,720000,1,1.0,2184.207862,"220 Congress St #4d, Brooklyn, NY 11201, USA",40.687871,-73.994454,unknown,co op,11201,Brooklyn,329.6389563128493,False
coldwell banker,250000,1,1.0,2184.207862,"18 Brighton 8th St, Brooklyn, NY 11235, USA",40.5838809,-73.9614297,pending,other,11235,Manhattan,114.45797094196156,False
ditommaso real estate,285000,1,1.0,613.0,"20 Cliff St #5b, Staten Island, NY 10305, USA",40.6109595,-74.060351,unknown,condo,10305,Staten Island,464.92659053833603,False
e house mgt inc,698000,1,1.0,721.0,"18 Eldridge St #2b, New York, NY 10002, USA",40.7148425,-73.9934391,unknown,condo,10002,Manhattan,968.0998613037448,False
continent,329000,1,1.0,850.0,"464 Neptune Ave #22a, Brooklyn, NY 11224, USA",40.5792324,-73.9713245,unknown,co op,11224,Brooklyn,387.05882352941177,False
highline rential highline rential,275000,1,1.0,650.0,"2053 Adam Clayton Powell Jr Blvd #1a, New York, NY 10027, USA",40.807254,-73.949107,unknown,co op,10027,Manhattan,423.0769230769231,False
winzone inc,438000,1,1.0,900.0,"14205 Roosevelt Ave Apt 703, Flushing, NY 11354, USA",40.7607942,-73.8258766,unknown,co op,11354,Queens,486.6666666666667,False
argo argo rential,568000,1,1.0,680.0,"54 97th Pl, Rego Park, NY 11374, USA",40.733048,-73.8612179,unknown,condo,11374,Manhattan,835.2941176470588,False
douglas elliman,1399000,1,1.0,2184.207862,"100 Riverside Dr #19a, New York, NY 10024, USA",40.7869306,-73.980845,unknown,co op,10024,Manhattan,640.5068053912169,False
winzone inc,460000,1,1.0,950.0,"7423 Ridge Blvd #1d, Brooklyn, NY 11209, USA",40.6323374,-74.0301041,unknown,co op,11209,Brooklyn,484.2105263157895,False
compass,845000,1,1.0,692.0,"510 E 80th St Apartment 12e, New York, NY 10075, USA",40.771604,-73.949419,unknown,condo,10075,Manhattan,1221.0982658959538,False
brown harris stevens,160000,1,1.0,2184.207862,"5601 Riverdale Ave #3s, Bronx, NY 10471, USA",40.9048823,-73.9051113,unknown,co op,10471,Bronx,73.25310140285539,False
douglas elliman,995000,1,1.0,2184.207862,"382 Central Park W #18j, New York, NY 10025, USA",40.7935585,-73.9656011,unknown,condo,10025,Manhattan,455.542724349007,False
nobroker,248000,1,1.0,800.0,"14220 26th Ave #2a, Flushing, NY 11354, USA",40.7741978,-73.8256676,unknown,co op,11354,Queens,310.0,False
robert defalco inc,249999,1,1.0,596.0,"215 Hart Blvd #3j, Staten Island, NY 10301, USA",40.6299335,-74.0999243,unknown,condo,10301,Staten Island,419.46140939597313,False
century 21 amiable  ii inc,219000,1,1.0,780.0,"8610 109th St Apt C1, Richmond Hill, NY 11418, USA",40.6981799,-73.83976,unknown,co op,11418,Queens,280.7692307692308,False
corcoran,650000,1,1.0,800.0,"500 E 83rd St #18a, New York, NY 10028, USA",40.7735711,-73.9481587,unknown,co op,10028,Manhattan,812.5,False
exit top,239000,1,1.0,670.0,"2035 E 7th St #3b, Brooklyn, NY 11223, USA",40.6010459,-73.9643613,unknown,co op,11223,Brooklyn,356.7164179104478,False
east coast realtors inc,265000,1,1.0,2184.207862,"18-55 Corporal Kennedy St #6k, Bayside, NY 11360, USA",40.7800225,-73.7830402,unknown,co op,11360,Queens,121.32544919847925,False
corcoran,1995000,1,1.0,826.0,"Devonshire House, 28 E 10th St #1k, New York, NY 10003, USA",40.7324605,-73.9936315,unknown,condo,10003,Manhattan,2415.2542372881358,False
jamie connie real estate grp,210000,1,1.0,2184.207862,"6604 Grand Central Pkwy #1c, Forest Hills, NY 11375, USA",40.7315312,-73.8437204,unknown,co op,11375,Queens,96.14469559124771,False
re/max,292950,1,1.0,675.0,"35-11 85th St #6b, Jackson Heights, NY 11372, USA",40.7513557,-73.8814631,unknown,co op,11372,Queens,434.0,False
serhant,679000,1,1.0,700.0,"250 W 82nd St #2c, New York, NY 10024, USA",40.7858813,-73.9790257,unknown,co op,10024,Manhattan,970.0,False
brown harris stevens,800000,1,1.0,2184.207862,"9 Barrow St #6b, New York, NY 10014, USA",40.7326742,-74.0023327,unknown,co op,10014,Manhattan,366.265507014277,False
compass,525000,1,1.0,715.0,"67 Park Ave #8e, New York, NY 10016, USA",40.74958,-73.9790355,unknown,co op,10016,Manhattan,734.2657342657343,False
e  corp,599000,1,1.0,600.0,"314 W 56th St #3c, New York, NY 10019, USA",40.7662847,-73.9843344,unknown,co op,10019,Manhattan,998.3333333333334,False
brown harris stevens,629000,1,1.0,2184.207862,"504 W 111th St Apt 34, New York, NY 10025, USA",40.8037336,-73.9639803,unknown,co op,10025,Manhattan,287.9762548899753,False
highline rential highline rential,650000,1,1.0,776.0,"300 Albany St #3d, New York, NY 10280, USA",40.7100278,-74.0168528,unknown,condo,10280,Manhattan,837.6288659793814,False
corcoran,635000,1,1.0,2184.207862,"673 Vanderbilt Ave #1c, Brooklyn, NY 11238, USA",40.676549,-73.968922,unknown,co op,11238,Brooklyn,290.72324619258234,False
keller williams,350777,1,1.0,2184.207862,"50 W 112th St #6d, New York, NY 10026, USA",40.798979,-73.9509758,unknown,co op,10026,Manhattan,160.5968946924338,False
kms  inc,335900,1,1.0,670.0,"15 Kathy Pl, Staten Island, NY 10314, USA",40.5791767,-74.1623976,contingent,other,10314,Manhattan,501.34328358208955,False
exp,324888,1,1.0,713.0,"61-15 97th St #6d, Rego Park, NY 11374, USA",40.7337965,-73.8620837,unknown,co op,11374,Queens,455.6633941093969,False
best find,219000,1,1.0,2184.207862,"19005 39th Ave Apt 142, Flushing, NY 11358, USA",40.7617299,-73.79176,unknown,co op,11358,Queens,100.26518254515832,False
brown harris stevens,935000,1,1.0,2184.207862,"781 5th Ave # 407, New York, NY 10022, USA",40.7643563,-73.9727544,unknown,co op,10022,Manhattan,428.0728113229362,False
keller williams,235000,1,1.0,675.0,"2011 E 56th St # 57a, Brooklyn, NY 11234, USA",40.6136942,-73.920504,unknown,co op,11234,Brooklyn,348.14814814814815,False
douglas elliman,595000,1,1.0,2184.207862,"T.H.I.S Town House international School, 1199 Park Ave #6j, New York, NY 10128, USA",40.7851736,-73.9527438,unknown,co op,10128,Manhattan,272.4099708418685,False
sotheby's,1200000,1,1.0,2184.207862,"3 E 77th St #14d, New York, NY 10075, USA",40.7754782,-73.9639697,unknown,co op,10075,Manhattan,549.3982605214155,False
joachim,169999,1,1.0,750.0,"87-46 Chelsea St #6c, Queens, NY 11432, USA",40.714763,-73.776178,unknown,co op,11432,Queens,226.66533333333334,False
winzone inc,304900,1,1.0,850.0,"68-63 108th St #3a, Forest Hills, NY 11375, USA",40.7254109,-73.8453358,unknown,co op,11375,Queens,358.70588235294116,False
bond new york columbus circle,600000,1,1.0,600.0,"1810 3rd Ave a9, New York, NY 10029, USA",40.7881977,-73.947385,unknown,condo,10029,Manhattan,1000.0,False
the agency,1250000,1,1.0,1300.0,"470 Park Ave #6a, New York, NY 10022, USA",40.762236,-73.9706084,unknown,co op,10022,Manhattan,961.5384615384615,False
exclusive  inc,179000,1,1.0,2184.207862,"2239 Troy Ave c6, Brooklyn, NY 11234, USA",40.6192487,-73.9324,unknown,co op,11234,Brooklyn,81.95190719444447,False
keller williams,293000,1,1.0,649.0,"3511 85th St Apt 2l, Jackson Heights, NY 11372, USA",40.7520799,-73.88188,unknown,co op,11372,Queens,451.4637904468413,False
compass,649000,1,1.0,665.0,"145 W 129th St #2, New York, NY 10027, USA",40.811152,-73.9451209,unknown,condo,10027,Manhattan,975.9398496240601,False
new york rential r e,298888,1,1.0,700.0,"16015 Powells Cove Blvd Apt B104, Whitestone, NY 11357, USA",40.7942899,-73.80139,unknown,co op,11357,Queens,426.98285714285714,False
fillmore real estate fusion team inc,990000,1,1.0,850.0,"24 W 55th St, New York, NY 10019, USA",40.7615992,-73.9757944,unknown,co op,10019,Manhattan,1164.7058823529412,False
besmatch real estate,99000,1,1.0,850.0,"1185 Anderson Ave #2c, Bronx, NY 10452, USA",40.8366623,-73.9239586,unknown,co op,10452,Bronx,116.47058823529412,False
accs access property,389000,1,1.0,2184.207862,"60 Cooper St #5b, New York, NY 10034, USA",40.8683018,-73.9229016,unknown,co op,10034,Manhattan,178.09660278569217,False
rk capital,568000,1,1.0,2184.207862,"69-45 108th St #2a, Forest Hills, NY 11375, USA",40.7241743,-73.8448471,unknown,condo,11375,Queens,260.04850998013666,False
sotheby's,950000,1,1.0,2184.207862,"Goldmark Practice Center, 29 W 65th St #2f, New York, NY 10023, USA",40.7727634,-73.9809139,unknown,condo,10023,Manhattan,434.9402895794539,False
winzone inc,248000,1,1.0,2184.207862,"196- 30 67th Ave #2fl, Fresh Meadows, NY 11365, USA",40.7383072,-73.7776864,unknown,co op,11365,Queens,113.54230717442586,False
real new york chelsea,575000,1,1.0,1073.0,"456 W 167th St #6g, New York, NY 10032, USA",40.8387144,-73.9369924,unknown,condo,10032,Manhattan,535.8807082945013,False
compass,399000,1,1.0,2184.207862,"3520 82nd St Apt 32, Jackson Heights, NY 11372, USA",40.7517899,-73.88467,unknown,co op,11372,Queens,182.67492162337064,False
re/max,429000,1,1.0,575.0,"195 Willoughby Ave Apartment 1610, Brooklyn, NY 11205, USA",40.692675,-73.96429,unknown,co op,11205,Brooklyn,746.0869565217391,False
good way  corp,235000,1,1.0,800.0,"2675 Ocean Ave #4a, Brooklyn, NY 11229, USA",40.595967,-73.9504018,unknown,co op,11229,Brooklyn,293.75,False
laffey real estate,269999,1,1.0,2184.207862,"25138 71st Ave # 80a, Queens, NY 11426, USA",40.7522899,-73.72315,unknown,co op,11426,Queens,123.61415078543472,False
re/max,280000,1,1.0,650.0,"1967 65th St #2e, Brooklyn, NY 11204, USA",40.616988,-73.986133,unknown,co op,11204,Brooklyn,430.7692307692308,False
e  corp,598000,1,1.0,663.0,"132-36 Pople Ave #3e, Flushing, NY 11355, USA",40.7533111,-73.8312005,unknown,condo,11355,Queens,901.9607843137255,False
platinum plus,355000,1,1.0,2184.207862,"61-25 97th St #10e, Rego Park, NY 11374, USA",40.7336463,-73.8618276,unknown,co op,11374,Queens,162.53031873758542,False
new heights,324900,1,1.0,665.0,"90 Park Terrace E #3a, New York, NY 10034, USA",40.8709037,-73.9155681,unknown,co op,10034,Manhattan,488.57142857142856,False
city connections,870000,1,1.0,620.0,"347 W 57th St #6b, New York, NY 10019, USA",40.7681878,-73.9845086,unknown,condo,10019,Manhattan,1403.225806451613,False
brown harris stevens,375000,1,1.0,2184.207862,"162 E 2nd St b, New York, NY 10009, USA",40.7228235,-73.98509,pending,other,10009,Manhattan,171.68695641294232,False
ilite inc,268800,1,1.0,725.0,"303 Avenue P b1, Brooklyn, NY 11204, USA",40.6086157,-73.9765291,unknown,co op,11204,Brooklyn,370.7586206896552,False
ashford homes,640000,1,1.0,1022.0,"1238 63rd St #204, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,unknown,condo,11219,Brooklyn,626.2230919765167,False
douglas elliman,950000,1,1.0,2184.207862,"82 Charles St #5r, New York, NY 10014, USA",40.7346124,-74.0039065,pending,other,10014,Manhattan,434.9402895794539,False
compass,1025000,1,1.0,787.0,"105 Norfolk St #3a, New York, NY 10002, USA",40.7188873,-73.9873574,unknown,condo,10002,Manhattan,1302.4142312579415,False
winzone inc,456000,1,1.0,2184.207862,"42-39 Judge St #2b, Elmhurst, NY 11373, USA",40.7442352,-73.8797855,unknown,condo,11373,Queens,208.77133899813788,False
compass,1750000,1,1.0,2184.207862,"502 Park Ave Apt 12h, New York, NY 10022, USA",40.7632867,-73.9700993,unknown,condo,10022,Manhattan,801.2057965937308,False
neuhaus inc,225000,1,1.0,650.0,"17 Seth Ct # B, Staten Island, NY 10301, USA",40.6185653,-74.0948312,contingent,other,10301,Staten Island,346.15384615384613,False
compass,499000,1,1.0,800.0,"150 Hawthorne St #5d, Brooklyn, NY 11225, USA",40.6573594,-73.9554071,unknown,co op,11225,Brooklyn,623.75,False
east coast realtors inc,220000,1,1.0,2184.207862,"61-88 Dry Harbor Rd, Flushing, NY 11379, USA",40.7257927,-73.8727767,unknown,co op,11379,Manhattan,100.72301442892616,False
apple  corp,235000,1,1.0,2184.207862,"68-5 138th St #1a, Flushing, NY 11367, USA",40.7315119,-73.8286528,unknown,co op,11367,Queens,107.59049268544386,False
corcoran,875000,1,1.0,2184.207862,"225 W 25th St #3f, New York, NY 10001, USA",40.7459915,-73.9956777,unknown,co op,10001,Manhattan,400.6028982968654,False
century 21 metro star,209000,1,1.0,2184.207862,"1470 East Ave #4d, Bronx, NY 10462, USA",40.836532,-73.859174,unknown,condo,10462,Bronx,95.68686370747986,False
compass,310000,1,1.0,2184.207862,"5700 Arlington Ave #2s, Bronx, NY 10471, USA",40.9069228,-73.9062512,unknown,co op,10471,Bronx,141.92788396803232,False
re/max,279900,1,1.0,850.0,"679 W 239th St #3c, Bronx, NY 10463, USA",40.8901764,-73.9146261,unknown,co op,10463,Bronx,329.29411764705884,False
keller williams,199888,1,1.0,2184.207862,"153-25 88th St #4e, Howard Beach, NY 11414, USA",40.6661012,-73.8471882,unknown,co op,11414,Queens,91.51509958258724,False
corcoran,899000,1,1.0,2184.207862,"300 E 54th St #34a, New York, NY 10022, USA",40.7570928,-73.9663495,unknown,co op,10022,Manhattan,411.59086350729376,False
tom crimmins ltd,209000,1,1.0,650.0,"1000 Clove Rd #5b, Staten Island, NY 10301, USA",40.6202645,-74.1099106,unknown,condo,10301,Staten Island,321.53846153846155,False
modlin,695000,1,1.0,2184.207862,"303 W 66th St #11j, New York, NY 10023, USA",40.776554,-73.9876401,unknown,co op,10023,Manhattan,318.19315921865314,False
re/max,300000,1,1.0,800.0,"2942 W 5th St #11d, Brooklyn, NY 11224, USA",40.5774084,-73.9732594,unknown,co op,11224,Brooklyn,375.0,False
gittens quick sale inc,215000,1,1.0,2184.207862,"118-66 Metropolitan Ave #1d, Kew Gardens, NY 11415, USA",40.7062291,-73.8326755,unknown,co op,11415,Queens,98.43385501008694,False
serhant,1195000,1,1.0,713.0,"57 Reade St #12e, New York, NY 10007, USA",40.7147947,-74.0064392,unknown,condo,10007,Manhattan,1676.01683029453,False
peter ashe real estate peter ashe real estate,599000,1,1.0,2184.207862,"158 E 100th St #2r, New York, NY 10029, USA",40.7879956,-73.9485879,unknown,condo,10029,Manhattan,274.2412983769399,False
benjamin since 1980,339000,1,1.0,2184.207862,"77-35 113th St #5b, Forest Hills, NY 11375, USA",40.7162869,-73.8314446,unknown,co op,11375,Queens,155.20500859729987,False
